country_code,mapped_bvdId,mapped_name,mapping_score,original_name,company_name,BvD ID number ,Country ISO code,"NACE Rev. 2, core code (4 digits)","NAICS 2017, core code (4 digits)",Major sectors,GUO - BvD ID number,GUO - Country ISO code,Status,Date of incorporation,Fixed assets <th USD 2016>,Intangible fixed assets <th USD 2016>,Tangible fixed assets <th USD 2016>,Other fixed assets <th USD 2016>,Current assets <th USD 2016>,Stock <th USD 2016>,Debtors <th USD 2016>,Other current assets <th USD 2016>,Cash & cash equivalent <th USD 2016>,Total assets <th USD 2016>,Shareholders funds <th USD 2016>,Capital <th USD 2016>,Other shareholders funds <th USD 2016>,Non-current liabilities <th USD 2016>,Long term debt <th USD 2016>,Other non-current liabilities <th USD 2016>,Provisions <th USD 2016>,Current liabilities <th USD 2016>,Loans <th USD 2016>,Creditors <th USD 2016>,Other current liabilities <th USD 2016>,Total shareh. funds & liab. <th USD 2016>,Working capital <th USD 2016>,Net current assets <th USD 2016>,Enterprise value <th USD 2016>,Number of employees <2016>,Operating revenue (Turnover) <th USD 2016>,Sales <th USD 2016>,Costs of goods sold <th USD 2016>,Gross profit <th USD 2016>,Other operating expenses <th USD 2016>,Operating P/L [=EBIT] <th USD 2016>,Financial P/L <th USD 2016>,Financial revenue <th USD 2016>,Financial expenses <th USD 2016>,P/L before tax <th USD 2016>,Taxation <th USD 2016>,P/L after tax <th USD 2016>,Extr. and other P/L <th USD 2016>,Extr. and other revenue <th USD 2016>,Extr. and other expenses <th USD 2016>,P/L for period [=Net income] <th USD 2016>,Export revenue <th USD 2016>,Material costs <th USD 2016>,Costs of employees <th USD 2016>,Depreciation & Amortization <th USD 2016>,Other operating items <th USD 2016>,Interest paid <th USD 2016>,Research & Development expenses <th USD 2016>,Cash flow <th USD 2016>,Added value <th USD 2016>,EBITDA <th USD 2016>
ID,ID30459FD,"ADARO ENERGY TBK., PT",scoreB,Adaro,"ADARO ENERGY TBK., PT",ID30459FD,ID,0510,2121,Primary sector,ID30459FD,ID,Active,2004,"4,929,542","793,610","3,980,752","155,180","1,592,715","73,417","300,689","1,218,609","1,076,982","6,522,257","3,785,882","342,940","3,442,942","2,091,820","1,280,422","811,398","142,493","644,555","122,850","207,794","313,911","6,522,257","166,312","948,160","4,392,311","7,923","2,721,076","2,524,239","1,483,892","1,237,184","619,416","617,768","-71,248","9,092","80,340","546,520","205,834","340,686","-6,065",n.a.,n.a.,"334,621",n.a.,n.a.,"73,683","441,129",n.a.,"50,006",0,"775,750","1,105,273","1,058,897"
ZM,ZM0000037646,EXPRESS WHOLESALERS LIMITED,scoreE,Adex Advertising Express Limited,EXPRESS WHOLESALERS LIMITED,ZM0000037646,ZM,4676,4246,Wholesale & retail trade, , ,Active,12/05/1999,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BD,,,,ADN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,,,Adriatica Conect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KH,,,,Advantek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,IN0001055067,AEROFLEX INDUSTRIES LIMITED,scoreB,Aeroflex,AEROFLEX INDUSTRIES LIMITED,IN0001055067,IN,2410,3311,Metals & metal products,IN*110180143402,IN,Active,19/10/1993,"8,918",10,"8,214",694,"12,304","1,399","4,176","6,729","1,246","21,222","-17,752","4,318","-22,071",37,0,37,37,"38,937","35,440","3,263",234,"21,222","2,312",n.a.,n.a.,n.a.,"16,145","15,714","10,045","6,100","4,287","1,812","-2,507",0,"2,507",-695,0,-695,0,0,0,-695,n.a.,"9,843","1,263",752,n.a.,"2,500",n.a.,58,"3,820","2,565"
LR,,,,Afbeko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,NG*Z00209145,AFRICA TERMINALS LTD,scoreB,Africa Terminals Co,AFRICA TERMINALS LTD,NG*Z00209145,NG,5210,4931,Transport, , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
ET,,,,africaJUICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,,,,African Pride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
