match_name|player_name|score
|InterMIMS|-1
|Interswitch|-1
|Interswitch|-1
|Intrapex|-1
|Invenlux|-1
|IPC 1|-1
|IPC 2|-1
TENCENT HOLDINGS LIMITED|Irrico Holdings|70
|Issco SARL|-1
|Itero|-1
KIT FINANCE LTD|ITHL (CAFIC)|56
|Jabi Lake NigCo|-1
|Jacques RTA|-1
JAGUAR LAND ROVER (CHINA) INVESTMENT CO., LTD.|Jaguar Animal|63
|Janalakshmi|-1
|Jayapore|-1
HUACHEN AUTOMOTIVE GROUP HOLDINGS CO., LTD.|JBL Holdings Ltd|86
BEIJING JINGDONG CENTURY TRADING CO., LTD.|JD Trading|82
|JFSL|-1
|JHIL|-1
|Jiezhen|-1
|JM Floating Rate|-1
|Joara-Nayagaon|-1
|JTRCL|-1
CLARO S.A.|Juxta Labs|53
|Kadopub Sarl|-1
KAZTSINK|Kadrik|57
HUAWEI INVESTMENT & HOLDING CO., LTD.|Kalikuti Investment|69
|Kathu CSP|-1
PETROCHINA COMPANY LIMITED|Kayak Limited|70
|Kayalar|-1
CHINA MEDICAL SYSTEM HOLDINGS LIMITED|Kemer Medical|70
|Kennedy Matashi|-1
|Kensta|-1
|Kevro|-1
|Kharabeesh|-1
TEKHNOSNAB|Khobab|62
TENCENT HOLDINGS LIMITED|Kiboko Holdings|70
|Kickstart Peru|-1
|Kid Admit|-1
|Kids Fun Plaza|-1
CHINA WANDA GROUP CO., LTD.|Kinangop Wind|54
|KLN|-1
CHINA RESOURCES CO., LTD.|Knets China|62
|Koba|-1
|Konfio|-1
SHUI ON LAND LIMITED|Korsando Limited|67
|Koubei|-1
|KPPL|-1
|Kredivo|-1
|Kris Star Lodge|-1
KIT FINANCE TRADE ( LIMITED LIABILITY COMPANY )|KT Finance|82
|KTG|-1
FAST RETAILING CO., LTD|Kungfu Fast Food|54
KONE ELEVATORS CO., LTD.|Kunoch Hotels Lt|54
|KVTC|-1
|KWFT|-1
AUSIRIS CO LTD|LA Airports Hold|53
TRINA SOLAR CO., LTD.|La Trinidad|55
|Lamani Boat|-1
|Lantern Mall|-1
|Lape|-1
|LAPO MFI|-1
TCL MULTIMEDIA TECHNOLOGY HOLDINGS LIMITED|Lasta Multimedia|77
CLARO S.A.|Laurus|53
CRBS S/A|LCBS Dhaka|56
|Le Genie|-1
