	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
10192	Kalaari Capital	Gradatim IT Ventures India	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	3	9-Dec	2009	0.0	
10193	Darby Private Equity	Gokulkrishna Constructions (GKC Projects)	Asia	South Asia	India	IND	IN	Industrials	Construction & Materials	Construction & Materials	Heavy Construction	Construction & Engineering	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Growth	13	9-Dec	2009	0.0	
10194	Proventeus Capital	Ikmaju	Asia	Southeast Asia	Malaysia	MYS	MY	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth		9-Dec	2009	0.0	
10195	Sequoia Capital	Sparkle Roll Group	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	PIPE	16	9-Dec	2009	0.0	64.75521459
10196	e.ventures	Rekoo Media	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	2	9-Dec	2009	0.0	
10197	Aquarius Investment Managers	Vijay Nirman Company	Asia	South Asia	India	IND	IN	Industrials	Construction & Materials	Construction & Materials	Heavy Construction	Construction & Engineering	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Infrastructure & Real Assets	Growth	7	9-Dec	2009	0.0	
10198	BVCF	Nexchem Pharmaceutical Co Ltd	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth		9-Dec	2009	1.0	
10199	Hopu Investment Management	China Pacific Insurance	Asia	East Asia	China	CHN	CN	Financials	Insurance	Life Insurance	Life Insurance	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	400	9-Dec	2009	0.0	5216.7
10200	Origo Partners	Gobi Coal and Energy	Asia	East Asia	Mongolia	MNG	MN	Basic Materials	Basic Resources	Mining	Coal	Metals & Mining	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Growth	15	9-Dec	2009	0.0	
10201	Aavishkaar Venture Management, Incofin Investment Management	Grameen Financial Services (Grameen Koota)	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	1	9-Dec	2009	0.0	26.4
10202	Madison India Capital	Net4 India	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Growth	3	9-Dec	2009	0.0	
10203	Banco Santander	Three Melons	Latin America	South America	Argentina	ARG	AR	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	1	9-Dec	2009	0.0	
10204	Sage Capital India	Concord Enviro Systems	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Waste & Disposal Services	Commercial Services & Supplies	C Utilities	Utilities	Private Equity	Growth	10	9-Dec	2009	1.0	
10205	Nexus Private Equity Partners	Kozmo	CEE & CIS	Central & Eastern Europe (CEE)	Croatia	HRV	HR	Consumer Services	Retail	Food & Drug Retailers	Drug Retailers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Buyout		9-Dec	2009	0.0	
10206	EFG Hermes Private Equity	Ridgewood Egypt	MENA	North Africa	Egypt	EGY	EG	Utilities	Utilities	Gas, Water & Multi-utilities	Water	Water Utilities	C Utilities	Utilities	Private Equity	Buyout		9-Dec	2009	0.0	
10207	Shenzhen Oriental Fortune Capital (OFC), Guojing Venture Capital	Jiangsu Huaiyin Huihuang Solar Energy (Huihuang Solar)	Asia	East Asia	China	CHN	CN	Oil & Gas	Oil & Gas	Alternative Energy	Renewable Energy Equipment	Independent Power and Renewable Electricity Producers	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	4	9-Dec	2009	0.0	
10208	True North (formerly IVFA)	UEM Group	Asia	South Asia	India	IND	IN	Utilities	Utilities	Gas, Water & Multi-utilities	Water	Water Utilities	C Utilities	Utilities	Infrastructure & Real Assets	Buyout	19	9-Dec	2009	0.0	
10209	European Investments & Partners (EIP)	Adriatic Energija Sunca	CEE & CIS	Central & Eastern Europe (CEE)	Croatia	HRV	HR	Oil & Gas	Oil & Gas	Alternative Energy	Renewable Energy Equipment	Independent Power and Renewable Electricity Producers	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		9-Dec	2009	0.0	
10210	General Catalyst Partners	SunBorne Energy Technologies	Asia	South Asia	India	IND	IN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Private Equity	Venture Capital	5	9-Dec	2009	0.0	
10211	Goldman Sachs Merchant Banking Division (MBD)	Max Financial Services	Asia	South Asia	India	IND	IN	Financials	Insurance	Life Insurance	Life Insurance	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	115	9-Dec	2009	0.0	283.5
10212	Zhejiang Sinowisdom Investment Management (Sinowisdom)	Inventronics	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		9-Dec	2009	0.0	
10213	The Carlyle Group, RLJ Equity Partners, The Carlyle Group	CVC Brasil Operadora e Agencia de Viagens	Latin America	South America	Brazil	BRA	BR	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout	405	9-Dec	2009	0.0	256.2612587
10214	Proventeus Capital	KS Aquaculture	Asia	Southeast Asia	Malaysia	MYS	MY	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth		9-Dec	2009	0.0	
10215	Motilal Oswal Private Equity	Power Mech Projects	Asia	South Asia	India	IND	IN	Industrials	Construction & Materials	Construction & Materials	Heavy Construction	Construction & Engineering	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Infrastructure & Real Assets	Growth	9	9-Dec	2009	1.0	20.40305565
10216	Proventeus Capital	Pacific Healthcare Holdings	Asia	Southeast Asia	Singapore	SGP	SG	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		9-Dec	2009	0.0	
10217	Capital Group Private Markets	Grupo Ibmec	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	73	9-Dec	2009	0.0	
10218	Standard Bank Private Equity	Casa do Pao de Queijo	Latin America	South America	Brazil	BRA	BR	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	41	9-Dec	2009	0.0	41.0
10219	New Enterprise Associates (NEA), Jacob Ballas Capital India	Financial Software & Systems (FSS)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	9	9-Dec	2009	0.0	51.0
10220	IFCI Venture Capital Funds	Regent Energy India	Asia	South Asia	India	IND	IN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	0.4	9-Dec	2009	0.0	
10221	Omaha Capital China	DLG Battery	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Nondurable Household Products	Household Durables	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	6	9-Dec	2009	0.0	
10222	Elephant Capital	Global Cricket Ventures (GCV)	Sub-Saharan Africa	East Africa	Mauritius	MUS	MU	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Growth	10	9-Dec	2009	0.0	
10223	Royalton Partners	COOL AR	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Infrastructure & Real Assets	Buyout		9-Dec	2009	0.0	
10224	SEAVI Advent	Sinocom Pharmaceutical (Anqing Zhongxi Yao Company Limited)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	Food & Drug Retailers	Drug Retailers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	7	9-Dec	2009	0.0	
10225	Sequoia Capital	Via (formerly FlightRaja)	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	10	9-Dec	2009	0.0	
10226	Promotora	Ubiquo	Latin America	South America	Colombia	COL	CO	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	9-Dec	2009	0.0	
10227	Draper Fisher Jurvetson (DFJ)	Five Minutes	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	4	9-Dec	2009	0.0	
10228	Quadria Capital Investment Management	Kerala Institute of Medical Science (KIMS)	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	13	9-Dec	2009	0.0	
10229	HSBC Principal Investments	The Executive Centre	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout		9-Dec	2009	0.0	
10230	Jiangsu Top-Bridge Capital	Jiangsu Pacific Precision Forging	Asia	East Asia	China	CHN	CN	Consumer Goods	Automobiles & Parts	Automobiles & Parts	Auto Parts	Auto Components	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	7	9-Dec	2009	0.0	
10231	ChinaEquity	Tony Studio	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		9-Dec	2009	0.0	
10232	True North (formerly IVFA)	Akshayini Oorja (AOPL)	Asia	South Asia	India	IND	IN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Buyout	7	9-Dec	2009	0.0	
10233	Capital Group Private Markets, The Rohatyn Group	Amoun Pharmaceutical	MENA	North Africa	Egypt	EGY	EG	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth		9-Dec	2009	1.0	
10234	Cordiant Capital	Helios Towers Nigeria	Sub-Saharan Africa	West Africa	Nigeria	NGA	NG	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Private Credit	Debt	10	9-Dec	2009		
10235	LeapFrog Investments	AllLife	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Financials	Insurance	Life Insurance	Life Insurance	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	14	9-Dec	2009	1.0	
10236	MBK Partners	GSE Investment (GSEI)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Waste & Disposal Services	Commercial Services & Supplies	C Utilities	Utilities	Private Equity	Buyout		9-Dec	2009	0.0	
10237	Southern Cross Group	Javer	Latin America	Central America	Mexico	MEX	MX	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Home Construction	Household Durables	D Construction and Real Estate	Construction and Real Estate	Private Equity	Growth	73	9-Dec	2009	0.0	
10238	Helios Investment Partners, Helios Investment Partners, The Rohatyn Group	Continental Outdoor Media	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Buyout	90	9-Dec	2009	1.0	
10239	The Abraaj Group	Central Hospital	Asia	South Asia	Sri Lanka	LKA	LK	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		9-Dec	2009	0.0	
10240	EQT	HTL-Strefa	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Health Care	Health Care	Health Care Equipment & Services	Medical Supplies	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Buyout	322	9-Nov	2009	0.0	
10241	Helios Investment Partners, Albright Capital Management	Helios Towers Africa (HTA)	Sub-Saharan Africa	West Africa	Ghana	GHA	GH	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Infrastructure & Real Assets	Growth		9-Nov	2009	1.0	
10242	Tiantu Xingye Venture Capital (Tiantu Capital)	Hangzhou Najing Technology (NN Crystal)	Asia	East Asia	China	CHN	CN	Technology	Technology	Technology Hardware & Equipment	Semiconductors	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	2	9-Nov	2009	0.0	
10243	Value4Capital	MedLife	CEE & CIS	Central & Eastern Europe (CEE)	Romania	ROU	RO	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		9-Nov	2009	0.0	42.33850058
10244	Prosperitas Capital Partners	CEPA International	Latin America	South America	Uruguay	URY	UY	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	9-Nov	2009	0.0	
10245	Northstar Group	Delta Dunia Makmur	Asia	Southeast Asia	Indonesia	IDN	ID	Basic Materials	Basic Resources	Mining	Coal	Metals & Mining	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	PIPE	323	9-Nov	2009	0.0	
10246	Tsing Capital	Beijing Goldenway Bio-Tech	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Waste & Disposal Services	Commercial Services & Supplies	C Utilities	Utilities	Private Equity	Venture Capital	12	9-Nov	2009	1.0	
10247	TPG	Daphne International Holdings	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Personal Goods	Footwear	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	PIPE	15	9-Nov	2009	0.0	90.3
10248	General Atlantic	Alibaba Group	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	75	9-Nov	2009	0.0	1143.5
10249	Conduit Capital Partners	Impulsora de Proyectos Hidroelectricos (IMPRO)	Latin America	Central America	Mexico	MEX	MX	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Buyout	49	9-Nov	2009	0.0	
10250	Advent International	Devin Group	CEE & CIS	Central & Eastern Europe (CEE)	Bulgaria	BGR	BG	Consumer Goods	Food & Beverage	Beverages	Soft Drinks	Beverages	F Food & Beverages	Food & Beverages	Private Equity	Buyout	47	9-Nov	2009	0.0	41.1
10251	Chengwei Ventures, Maverick Capital, Sutter Hill Ventures	Youku.com	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Venture Capital	40	9-Nov	2009	0.0	188.0
10252	GVFL	FairTech Engineering Services	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Engineering	Commercial Vehicles & Trucks	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		9-Nov	2009	0.0	
10253	Madagascar Development Partners	BICM (Banque Industrielle et Commerciale de Madagascar)	Sub-Saharan Africa	East Africa	Madagascar	MDG	MG	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	1	9-Nov	2009	0.0	
10254	Clearwater Capital Partners	Oricon Enterprises (Oriental Containers)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	General Industrials	Containers & Packaging	Containers & Packaging	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	PIPE	7	9-Nov	2009	0.0	9.276255126
10255	TVS Capital	Dusters Total Solutions Services	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	5	9-Nov	2009	0.0	
10256	Softline Venture Partners (SVP)	Bookee	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	9-Nov	2009	0.0	
10257	GGV Capital, GSR Ventures, Mayfield Fund, Tenaya Capital	Qunar.com	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	15	9-Nov	2009	0.0	
10258	Morningside Ventures	Phoenix New Media	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Venture Capital	25	9-Nov	2009	0.0	
10259	Ventureast	Loylty Rewardz Mngt	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	9-Nov	2009	1.0	
10260	Invest AD	Ekol Lojistik	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth	72	9-Nov	2009	0.0	
10261	The Carlyle Group	iTour	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		9-Nov	2009	0.0	
10262	GVFL	iNurture Education Solutions (Formerly i-Nurture)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	2	9-Nov	2009	0.0	
10263	The Carlyle Group	Jiangsu Rainbow Heavy Industries (RHI)	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		9-Nov	2009	0.0	72.4
10264	Enterprise Investors	Polski Bank Komorek Macierzystych (PBKM)	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Buyout	6	9-Nov	2009	0.0	35.46517822
10265	NewMargin Ventures	Chongqing Tongli Heavy Duty Machine Manufacturing	Asia	East Asia	China	CHN	CN	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Growth	293	9-Nov	2009	0.0	
10266	The Blackstone Group	Gateway Rail Freight (GRFL)	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	65	9-Nov	2009	0.0	
10267	Axis Holdings	Precision Automation and Robotics India (PARI)	Asia	South Asia	India	IND	IN	Technology	Technology	Technology Hardware & Equipment	Computer Hardware	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	9	9-Nov	2009	0.0	
10268	Emergent Investment Group (EIG)	McNally Sayaji Engineering	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		9-Nov	2009	0.0	
10269	TVS Capital	Landmark	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	14	9-Nov	2009	0.0	15.8
10270	CRP Companhia de Participacoes	Artmed Editora	Latin America	South America	Brazil	BRA	BR	Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	Venture Capital		9-Nov	2009	0.0	
10271	CTC Capital	Mymyti Network Technology Co., Ltd.	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	3	9-Nov	2009	0.0	
10272	Baring Private Equity Asia	Hsu Fu Chi International	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	PIPE	135	9-Nov	2009	0.0	468.0
10273	Sequoia Capital, First Mark Capital	IMImobile	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	13	9-Nov	2009	0.0	
10274	Enterprise Investors	Profi Rom Food	CEE & CIS	Central & Eastern Europe (CEE)	Romania	ROU	RO	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Buyout	95	9-Nov	2009	0.0	565.799401
10275	Bessemer Venture Partners	IL&FS Transportation Networks (ITNL)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Infrastructure & Real Assets	Growth	22	9-Nov	2009	0.0	8.479088641
10276	Morningside Ventures	ByRead Inc.	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	0.1	9-Nov	2009	0.0	
10277	OrbiMed Advisors	Ecron Acunova (Manipal Acunova)	Asia	South Asia	India	IND	IN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	7	9-Nov	2009	0.0	
10278	Tiantu Xingye Venture Capital (Tiantu Capital)	Montnets	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	5	9-Nov	2009	0.0	
10279	CRP Companhia de Participacoes	Pisani	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	General Industrials	Containers & Packaging	Containers & Packaging	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		9-Nov	2009	0.0	
10280	DT Capital Partners	Wuhan Huali Environment Protection Science Technology Co.	Asia	East Asia	China	CHN	CN	Basic Materials	Chemicals	Chemicals	Specialty Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	Growth	14	9-Nov	2009	0.0	
10281	Austral Capital, Fondo COPEC-UC	Atakama Labs	Latin America	South America	Chile	CHL	CL	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	4	9-Nov	2009	0.0	6.0
10282	ICICI Venture Funds Management	Viceroy Hotels	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Hotels	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		9-Nov	2009	0.0	
10283	Lime Rock Partners	Expert Petroleum	CEE & CIS	Central & Eastern Europe (CEE)	Romania	ROU	RO	Oil & Gas	Oil & Gas	Oil & Gas Producers	Exploration & Production	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Growth	25	9-Nov	2009	0.0	
10284	PPF Partners	Euroclinicum	CEE & CIS	Central & Eastern Europe (CEE)	Czech Republic	CZE	CZ	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Buyout		9-Nov	2009	0.0	
10285	Sequoia Capital, CITIC Capital Partners, FountainVest Partners	Sina Corporation	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Growth	130	9-Nov	2009	0.0	
10286	3TS Capital Partners	InternetCorp	CEE & CIS	Central & Eastern Europe (CEE)	Romania	ROU	RO	Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	Growth		9-Nov	2009	0.0	
10287	Elephant Capital	Mahindra CIE Automotive	Asia	South Asia	India	IND	IN	Consumer Goods	Automobiles & Parts	Automobiles & Parts	Auto Parts	Auto Components	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	PIPE		9-Nov	2009	0.0	68.94934144
10288	Arqaam Capital	Al Dur Independent Water and Power	MENA	Middle East	Bahrain	BHR	BH	Utilities	Utilities	Electricity	Conventional Electricity	Electric Utilities	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	26	9-Nov	2009	0.0	
10289	BRZ Investimentos	America Latina Logistica	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Industrial Transportation	Railroads	Road & Rail	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	PIPE		9-Nov	2009	0.0	
10290	Investcorp	Gulf Cryo	MENA	Middle East	Kuwait	KWT	KW	Basic Materials	Chemicals	Chemicals	Commodity Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	Growth		9-Nov	2009	0.0	
10291	Templeton Asset Management (TAML)	Capital Strategic Investments Properties (CSI)	Asia	East Asia	China	CHN	CN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Holding & Development	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Growth	10	9-Nov	2009	0.0	
10292	Gulf Capital	Meta Med	MENA	North Africa	Egypt	EGY	EG	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Buyout		9-Nov	2009	0.0	
