	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
6523	Ceyuan Ventures, GSR Ventures, Trustbridge Partners (TBP Capital)	Lightinthebox	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	PIPE	13	13-Jun	2013	0.0	
6524	Indus Balaji Private Equity	SmartPrep	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	2	13-Jun	2013	0.0	
6525	Sequoia Capital	Guangzhou Weekend Network Technology	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		13-Jun	2013	0.0	
6526	Mezzanine Capital Partners	Invia Group	CEE & CIS	Central & Eastern Europe (CEE)	Czech Republic	CZE	CZ	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Credit	Mezzanine		13-Jun	2013		
6527	Mezzanine Capital Partners	Dominium	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Credit	Mezzanine		13-Jun	2013		
6528	ChrysCapital	Federal Bank	Asia	South Asia	India	IND	IN	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE		13-Jun	2013	0.0	80.0
6529	ChrysCapital	Karur Vysya Bank	Asia	South Asia	India	IND	IN	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE		13-Jun	2013	0.0	31.31555295
6530	Ceyuan Ventures	Beijing Serious Technology (Ricebook, Enjoy)	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	2	13-Jun	2013	0.0	
6531	Sequoia Capital	Mobvoi	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		13-Jun	2013	0.0	
6532	Injaro Investments	Neema Agricole du Faso (Nafaso)	Sub-Saharan Africa	West Africa	Burkina Faso	BFA	BF	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Credit	Mezzanine		13-May	2013		
6533	ChrysCapital	CavinKare	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Personal Goods	Personal Products	Textiles, Apparel & Luxury Goods	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	44	13-May	2013	0.0	79.28432663
6534	Altra Investments	AUSA Soluciones Logisticas	Latin America	South America	Peru	PER	PE	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Buyout		13-May	2013	0.0	
6535	MENA Infrastructure	Sohar Power Company	MENA	Middle East	Oman	OMN	OM	Utilities	Utilities	Gas, Water & Multi-utilities	Multi-utilities	Multi-Utilities	C Utilities	Utilities	Infrastructure & Real Assets	PIPE		13-May	2013	0.0	
6536	e.Bricks Digital	Juv&You	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		13-May	2013	0.0	
6537	Altra Investments	Valrex	Latin America	South America	Colombia	COL	CO	Utilities	Utilities	Gas, Water & Multi-utilities	Water	Water Utilities	C Utilities	Utilities	Private Equity	Buyout		13-May	2013	0.0	
6538	Infuse Ventures	Ecolibrium Energy	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	13-May	2013	1.0	
6539	India Venture Advisors (IVA)	Dr. Ramesh Cardiac & Multispecialty Hospital (Ramesh Hospitals)	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		13-May	2013	0.0	16.39561814
6540	Cauris Management	Axxend Corporation	Sub-Saharan Africa	West Africa	Senegal	SEN	SN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	6	13-May	2013	1.0	
6541	Small Enterprise Assistance Funds (SEAF)	Alzani II	CEE & CIS	Commonwealth of Independent States (CIS)	Georgia	GEO	GE	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Private Credit	Mezzanine	3	13-May	2013		
6542	Kerogen Capital	NewAge (African Global Energy)	Sub-Saharan Africa	-	Sub-Saharan Africa Regional Investment	SSA		Oil & Gas	Oil & Gas	Oil & Gas Producers	Exploration & Production	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Infrastructure & Real Assets	Growth	74	13-May	2013	0.0	
6543	AfricInvest	Inpackt	MENA	North Africa	Tunisia	TUN	TN	Industrials	Industrial Goods & Services	General Industrials	Containers & Packaging	Containers & Packaging	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Buyout	16	13-May	2013	1.0	
6544	Blue Sea Capital	Jevremova	CEE & CIS	Central & Eastern Europe (CEE)	Serbia	SRB	RS	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Buyout		13-May	2013	0.0	
6545	IFC Asset Management Company (AMC)	Bank Muscat	MENA	Middle East	Oman	OMN	OM	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	113	13-May	2013	1.0	
6546	Tiger Global Management	Caratlane Trading	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	15	13-May	2013	0.0	53.60710538
6547	Armstrong Asset Management	Symbior Elements	Asia	Southeast Asia	Thailand	THA	TH	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth		13-May	2013	1.0	
6548	Confrapar	Starline Tecnologia	Latin America	South America	Brazil	BRA	BR	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	13-May	2013	0.0	
6549	Axon Partners Group	ClickDelivery	Latin America	South America	Colombia	COL	CO	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		13-May	2013	0.0	
6550	Saratoga Capital	Baskhara Utama Sedaya	Asia	Southeast Asia	Indonesia	IDN	ID	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Credit	Mezzanine		13-May	2013		
6551	CapAsia	Margautama Nusantara (MUN)	Asia	Southeast Asia	Indonesia	IDN	ID	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Infrastructure & Real Assets	Growth		13-May	2013	0.0	
6552	Haitong-Fortis Private Equity Fund Management	Shanghai Chenguang Medical Technologies	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Growth	5	13-May	2013	0.0	
6553	Astella Investimentos	Smartbill RBM	Latin America	South America	Brazil	BRA	BR	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		13-May	2013	0.0	
6554	Learn Capital	Bridge International Academies	Sub-Saharan Africa	East Africa	Kenya	KEN	KE	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		13-May	2013	0.0	
6555	Global Environment Fund (GEF)	Imvelo Forests	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Basic Materials	Basic Resources	Forestry & Paper	Forestry	Paper & Forest Products	A Agriculture and Forestry	Agriculture & Forestry	Infrastructure & Real Assets	Growth		13-May	2013	1.0	
6556	Baltcap Management	Blue Bridge Technologies	CEE & CIS	Central & Eastern Europe (CEE)	Latvia	LVA	LV	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	13-May	2013	0.0	
6557	IDG Capital Partners (IDGVC)	Sky Solar Holdings	Asia	East Asia	China	CHN	CN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	6	13-May	2013	0.0	
6558	Nexus Venture Partners	Bigshoebazaar India	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		13-May	2013	0.0	
6559	CITIC Private Equity Funds Management	3SBio	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout	154	13-May	2013	0.0	141.89399269999998
6560	Shenzhen CDF-Capital	Inner Mongolia Rider Horse Industry	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Venture Capital	16	13-May	2013	0.0	
6561	Goldman Sachs Merchant Banking Division (MBD)	DEN Networks	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	PIPE	110	13-May	2013	0.0	5.3
6562	Monashees Capital	EduK	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		13-May	2013	0.0	
6563	BTG Pactual	CCRR	Latin America	South America	Brazil	BRA	BR	Basic Materials	Basic Resources	Forestry & Paper	Paper	Paper & Forest Products	J Pulp & Paper	Pulp & Paper	Private Equity	Buyout		13-May	2013	0.0	
6564	GGV Capital	CSD Water	Asia	East Asia	China	CHN	CN	Utilities	Utilities	Gas, Water & Multi-utilities	Water	Water Utilities	C Utilities	Utilities	Infrastructure & Real Assets	Growth		13-May	2013	0.0	
6565	Monashees Capital, 500 Startups	Runrun.it	Latin America	South America	Brazil	BRA	BR	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	13-May	2013	0.0	
