	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
6000	Gobi Partners	Yododo.com	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	4	13-Nov	2013	0.0	
6001	Canaan Partners, RRE Ventures	itBit	Asia	Southeast Asia	Singapore	SGP	SG	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	3	13-Nov	2013	0.0	
6002	Tata Capital Private Equity	Home First Finance	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Mortgage Finance	Thrifts & Mortgage Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	8	13-Nov	2013	1.0	
6003	Macquarie Infrastructure and Real Assets (MIRA)	Yeong Yang Wind Power	Asia	East Asia	South Korea	KOR	KR	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	151	13-Nov	2013	0.0	
6004	Macquarie Infrastructure and Real Assets (MIRA)	Trichy Tollway	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Infrastructure & Real Assets	Buyout	43	13-Nov	2013	0.0	67.71770328
6005	Hopu Investment Management	Yashili	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth	80	13-Nov	2013	0.0	386.4
6006	Asia Pacific Capital	Chuanboyi.com	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	5	13-Nov	2013	0.0	
6007	WAMEX Private Equity	Bodesa	Latin America	Central America	Mexico	MEX	MX	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	17	13-Nov	2013	0.0	
6008	Credo Ventures, Index Ventures	Futurelytics	CEE & CIS	Central & Eastern Europe (CEE)	Czech Republic	CZE	CZ	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	13-Nov	2013	0.0	
6009	WAMEX Private Equity	KUA Mex Foods	Latin America	Central America	Mexico	MEX	MX	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth	20	13-Nov	2013	0.0	
6010	IDG Capital Partners (IDGVC)	Phoenix FM App	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout		13-Nov	2013	0.0	
6011	Denham Capital Management	Santiago Metals	Latin America	South America	Chile	CHL	CL	Basic Materials	Basic Resources	Mining	General Mining	Metals & Mining	B Oil, Gas and Mining	Oil, Gas and Mining	Infrastructure & Real Assets	Growth	150	13-Nov	2013	0.0	
6012	Baring Private Equity Asia	Hexaware Technologies	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout	308	13-Nov	2013	0.0	118.2991097
6013	China New Enterprise Investment (CNEI)	Shanghai Fudan-Zhangjiang Bio-Pharmaceutical (FDZJ)	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	PIPE	25	13-Nov	2013	0.0	
6014	Northern Light Venture Capital (NLVC)	Shanghai DianRong Financial Services	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	10	13-Nov	2013	0.0	
6015	Affinity Equity Partners	Loen Entertainment	Asia	East Asia	South Korea	KOR	KR	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	PIPE	30	13-Nov	2013	0.0	625.8821479
6016	Union Square Ventures	Zemanta	CEE & CIS	Central & Eastern Europe (CEE)	Slovenia	SVN	SI	Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	Venture Capital	2	13-Nov	2013	0.0	
6017	Prostor Capital, e.ventures	AdMoment	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	3	13-Nov	2013	0.0	
6018	Enterprise Investors	Danwood	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Home Construction	Household Durables	D Construction and Real Estate	Construction and Real Estate	Private Equity	Buyout	77	13-Nov	2013	0.0	
6019	DMP	GoQuo	Asia	Southeast Asia	Malaysia	MYS	MY	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital		13-Nov	2013	0.0	
6020	IDFC Alternatives	National Commodity and Derivatives Exchange (NCDEX)	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Investment Services	Capital Markets	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	7	13-Nov	2013	0.0	
6021	J.P. Morgan Asset Management, LIV Capital, Summit Partners	Linio	Latin America	Central America	Mexico	MEX	MX	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		13-Nov	2013	0.0	
6022	XSML	MIS Impression	Sub-Saharan Africa	Central Africa	Democratic Republic of the Congo	COD	CD	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Growth		13-Nov	2013	1.0	
6023	Horizon Equity Partners	Qorus Software	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		13-Nov	2013	1.0	
6024	Sequoia Capital	Zomato	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	28	13-Nov	2013	0.0	
6025	NBK Capital Partners	Shakespeare and Co.	MENA	Middle East	United Arab Emirates	ARE	AE	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		13-Nov	2013	0.0	
6026	Altra Investments	COSAPI Data	Latin America	South America	Peru	PER	PE	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout		13-Nov	2013	0.0	
6027	Triodos Investment Management	Ananya Finance for Inclusive Growth	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	3	13-Nov	2013	0.0	
6028	Qiming Venture Partners	Dajiabao.com	Asia	East Asia	China	CHN	CN	Financials	Insurance	Nonlife Insurance	Insurance Brokers	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital		13-Nov	2013	0.0	
6029	Gobi Partners	iKair	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	2	13-Nov	2013	0.0	
6030	DILA Capital	Compania Cervecera Hercules	Latin America	Central America	Mexico	MEX	MX	Consumer Goods	Food & Beverage	Beverages	Brewers	Beverages	F Food & Beverages	Food & Beverages	Private Equity	Venture Capital		13-Nov	2013	0.0	
6031	Dragon Capital (Vietnam)	Symbior Elements	Asia	Southeast Asia	Thailand	THA	TH	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth		13-Nov	2013	1.0	
6032	IDFC Alternatives	Viom Networks (formerly Quippo-WTTIL)	Asia	South Asia	India	IND	IN	Telecommunications	Telecommunications	Fixed Line Telecommunications	Fixed Line Telecommunications	Diversified Telecommunication Services	N Information	Information	Infrastructure & Real Assets	Growth	52	13-Nov	2013	1.0	2.0
6033	Sequoia Capital, Ceyuan Ventures	Guangzhou Weekend Network Technology	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	2	13-Nov	2013	0.0	
6034	CITIC Private Equity Funds Management	Biosensors International	Asia	Southeast Asia	Singapore	SGP	SG	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Growth	312	13-Nov	2013	0.0	115.1
6035	Navis Capital Partners	Brickfields Asia College	Asia	Southeast Asia	Malaysia	MYS	MY	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	22	13-Nov	2013	0.0	
6036	Capitalworks Equity Partners	Much Asphalt	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Buyout		13-Oct	2013	0.0	
6037	Capitalworks Equity Partners, Pan-African Private Equity Funds (PAPE)	Infrastructure Specialist Group	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Buyout		13-Oct	2013	0.0	
6038	Matrix Partners	Shotformats Digital Works	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital		13-Oct	2013	0.0	
6039	China Broadband Capital (CBC), Matrix Partners	91Jinrong	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	10	13-Oct	2013	0.0	
6040	DCM	Beijing 58 Information and Technology (58.com)	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	PIPE	15	13-Oct	2013	0.0	156.8
6041	Sequoia Capital, Matrix Partners	Kids Clinic India (Cloudnine)	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Venture Capital	16	13-Oct	2013	0.0	
6042	RRJ Capital	Shanghai Jingrui Properties	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Home Construction	Household Durables	D Construction and Real Estate	Construction and Real Estate	Private Equity	PIPE	50	13-Oct	2013	0.0	
6043	Monashees Capital, Ribbit Capital	ContaAzul	Latin America	South America	Brazil	BRA	BR	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		13-Oct	2013	0.0	
6044	Kalaari Capital	AppsDaily Solutions	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	5	13-Oct	2013	0.0	
6045	Alta Ventures Mexico	Shopperception	Latin America	South America	Argentina	ARG	AR	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.4	13-Oct	2013	1.0	
6046	Elbrus Capital	Intercomp	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout	37	13-Oct	2013	1.0	
6047	Fosun Group International, ChinaRock Capital Management Venture Capital	Shijiebang (Beijing) Information Technology	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	10	13-Oct	2013	0.0	
6048	AfricInvest	Maille Club	MENA	North Africa	Tunisia	TUN	TN	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Growth	8	13-Oct	2013	1.0	
6049	KKR	Apollo Hospitals	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	PIPE	89	13-Oct	2013	1.0	203.6
6050	CDH Investments	Hai Gewa Business Information Consulting (gewara.com)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	20	13-Oct	2013	0.0	
6051	Vital Capital Investments	Capital Water	Latin America	South America	Peru	PER	PE	Utilities	Utilities	Gas, Water & Multi-utilities	Water	Water Utilities	C Utilities	Utilities	Infrastructure & Real Assets	Growth	10	13-Oct	2013	0.0	
6052	Milestone Capital Management	Cabbeen Apparel	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	PIPE	18	13-Oct	2013	0.0	
6053	Qiming Venture Partners	Junhetang	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Venture Capital		13-Oct	2013	0.0	
6054	Amethis Finance	UT Bank Ghana	Sub-Saharan Africa	West Africa	Ghana	GHA	GH	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Credit	Debt	10	13-Oct	2013		
6055	Foursan Group	ATICO Fakhreldin Group	MENA	Middle East	Jordan	JOR	JO	Consumer Services	Travel & Leisure	Travel & Leisure	Hotels	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		13-Oct	2013	1.0	
6056	Revo Capital	Parasut	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		13-Oct	2013	1.0	
6057	BR Opportunities	MDPZ Participacoes (Maremonti)	Latin America	South America	Brazil	BRA	BR	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		13-Oct	2013	0.0	
6058	Shenzhen Capital Group (SCGC)	Hubei Xiaohu Duck Food	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Venture Capital	3	13-Oct	2013	0.0	
6059	Affinity Equity Partners	Beijing Sunlon Livestock Development	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth		13-Oct	2013	0.0	
6060	Jungle Ventures, 500 Startups, Fenox Venture Capital, Rebright Partners, Spiral Ventures (formerly IMJ Investment Partners)	iMoney Group	Asia	Southeast Asia	Malaysia	MYS	MY	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	2	13-Oct	2013	0.0	
6061	Tata Capital Private Equity, Accel Partners, IKP Investment Management Company (IKPIMC)	Mitra Biotech	Asia	South Asia	India	IND	IN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	7	13-Oct	2013	0.0	
6062	Baltcap Management	Stenders	CEE & CIS	Central & Eastern Europe (CEE)	Latvia	LVA	LV	Consumer Goods	Personal & Household Goods	Personal Goods	Personal Products	Textiles, Apparel & Luxury Goods	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	2	13-Oct	2013	0.0	
6063	Tata Capital Private Equity	IFMR Rural Channels and Services (IRCS)	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	5	13-Oct	2013	0.0	
6064	Peepul Capital	Komli Media	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	30	13-Oct	2013	0.0	
6065	The Abraaj Group	Fan Milk International	Sub-Saharan Africa	West Africa	West Africa Regional Investment	SSA		Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Buyout		13-Oct	2013	1.0	
6066	Gobi Partners	More Fun More English	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	13-Oct	2013	0.0	
6067	China Broadband Capital (CBC)	CSDN.net	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	10	13-Oct	2013	0.0	
6068	Morningside Ventures	Chemayi	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	2	13-Oct	2013	0.0	
6069	GSR Ventures	M-DAQ	Asia	Southeast Asia	Singapore	SGP	SG	Financials	Financial Services	Financial Services	Investment Services	Capital Markets	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital		13-Oct	2013	0.0	
6070	Tata Capital Private Equity	Tata Sky	Asia	South Asia	India	IND	IN	Telecommunications	Telecommunications	Fixed Line Telecommunications	Fixed Line Telecommunications	Diversified Telecommunication Services	N Information	Information	Private Equity	Growth	41	13-Oct	2013	0.0	
6071	Injaro Investments	Sekaf Ghana	Sub-Saharan Africa	West Africa	Ghana	GHA	GH	Consumer Goods	Personal & Household Goods	Personal Goods	Personal Products	Textiles, Apparel & Luxury Goods	M Industrial & Consumer Products	Industrial & Consumer Products	Private Credit	Mezzanine		13-Oct	2013		
6072	IFC Asset Management Company (AMC)	Khan Bank	Asia	East Asia	Mongolia	MNG	MN	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Credit	Debt	40	13-Oct	2013		
6073	Rebright Partners	IndoTrading	Asia	Southeast Asia	Indonesia	IDN	ID	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital		13-Oct	2013	0.0	
6074	Morningside Ventures	Public Information Technology (Gongpingjia)	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	4	13-Oct	2013	0.0	
6075	Actis	Symbiotec Pharmalab	Asia	South Asia	India	IND	IN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth	48	13-Oct	2013	0.0	
6076	Templeton Asset Management (TAML)	SOK Marketler	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	34	13-Oct	2013	0.0	
6077	Equity International	Advance Real Estate	Latin America	Central America	Mexico	MEX	MX	Financials	Real Estate	Real Estate Investment & Services	Real Estate Holding & Development	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Growth		13-Oct	2013	0.0	
6078	Vinci Partners, Patria Investimentos	Companhia Brasileira de Offshore (CBO)	Latin America	South America	Brazil	BRA	BR	Oil & Gas	Oil & Gas	Oil Equipment, Services & Distribution	Oil Equipment & Services	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Buyout	230	13-Oct	2013	0.0	
6079	Matrix Partners, DST Global	Momo	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	23	13-Oct	2013	0.0	
6080	Credo Ventures	Comprimato	CEE & CIS	Central & Eastern Europe (CEE)	Czech Republic	CZE	CZ	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.3	13-Oct	2013	0.0	
6081	GGV Capital	Hiwifi.com	Asia	East Asia	China	CHN	CN	Technology	Technology	Technology Hardware & Equipment	Telecommunications Equipment	Technology Hardware, Storage & Peripherals	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	10	13-Oct	2013	0.0	
6082	Unitas Capital	Gourmet Noodle House	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout		13-Oct	2013	0.0	
6083	GGV Capital, Fosun Group International	Beijing Dream Castle Culture	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Venture Capital		13-Oct	2013	0.0	
6084	The Abraaj Group	Ghana Home Loans (GHL)	Sub-Saharan Africa	West Africa	Ghana	GHA	GH	Financials	Financial Services	Financial Services	Mortgage Finance	Thrifts & Mortgage Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Buyout		13-Oct	2013	1.0	
6085	Tiantu Xingye Venture Capital (Tiantu Capital)	Guangzhou ACG Life (Comagic)	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Furnishings	Household Durables	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	16	13-Oct	2013	0.0	
6086	Qiming Venture Partners	Beijing Yunzhisheng Information Technology	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	16	13-Oct	2013	0.0	
6087	Sequoia Capital	500.com	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Gambling	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	20	13-Oct	2013	0.0	
6088	EIG Global Energy Partners	Abengoa South Africa Solar Projects (Xina and Kaxu Solar One)	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth		13-Oct	2013	0.0	
6089	ChrysCapital	Cyient (Formerly Infotech Enterprises)	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	PIPE	5	13-Oct	2013	0.0	94.43062061
6090	TPG	Phoenix Satellite Television	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	PIPE	214	13-Oct	2013	0.0	
6091	Northern Light Venture Capital (NLVC), GGV Capital, New Horizon Capital, Sequoia Capital, Steamboat Ventures	Chukong Technologies	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	50	13-Oct	2013	0.0	
6092	Helion Venture Partners, Blumberg Capital	Mygola.com	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	2	13-Oct	2013	0.0	
6093	Equis	Asia Networks	Asia	Southeast Asia	Singapore	SGP	SG	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Infrastructure & Real Assets	Growth		13-Oct	2013	0.0	
6094	Goodwell Investments	Mainstreet Bank MFB	Sub-Saharan Africa	West Africa	Nigeria	NGA	NG	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		13-Oct	2013	0.0	
6095	India Quotient	Tyched Web Services (Wishberg.com)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	0.2	13-Oct	2013	0.0	
6096	Silver Lake, Nexus Venture Partners	Eka Software Solutions	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	40	13-Oct	2013	0.0	
6097	RRJ Capital	CIFI Holdings	Asia	East Asia	China	CHN	CN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Holding & Development	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	PIPE	50	13-Oct	2013	0.0	
6098	ADM Capital	Vitarich	Asia	Southeast Asia	Philippines	PHL	PH	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Credit	Debt		13-Oct	2013		
6099	Sequoia Capital, Nexus Venture Partners, Tenaya Capital	Druva Software	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	25	13-Oct	2013	0.0	
6100	KKR	SBB/Telemach Group	CEE & CIS	Central & Eastern Europe (CEE)	Serbia	SRB	RS	Telecommunications	Telecommunications	Fixed Line Telecommunications	Fixed Line Telecommunications	Diversified Telecommunication Services	N Information	Information	Private Equity	Buyout	712	13-Oct	2013	1.0	1356.685512
6101	IDFC Alternatives	Medi Assist	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	14	13-Oct	2013	0.0	
6102	Samara Capital Partners	Lotus Surgicals	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Growth	24	13-Oct	2013	0.0	
6103	EXEO Capital	Cape Olive	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Buyout		13-Oct	2013	1.0	
