	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
7179	The EuroMena Funds	Khoury Home	MENA	Middle East	Lebanon	LBN	LB	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Durable Household Products	Household Durables	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		12-Nov	2012	0.0	
7180	The Abraaj Group	Moulin d’Or	MENA	North Africa	Tunisia	TUN	TN	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth		12-Nov	2012	0.0	38.00210839
7181	Mayfield Fund	Securens Systems	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	4	12-Nov	2012	0.0	
7182	Social Capital	Ezetap Mobile Solutions	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	4	12-Nov	2012	0.0	
7183	Index Ventures, Earlybird Venture Capital	Socialbakers	CEE & CIS	Central & Eastern Europe (CEE)	Czech Republic	CZE	CZ	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	6	12-Nov	2012	0.0	
7184	Tsing Capital	Rayben International Holdings	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	General Industrials	Containers & Packaging	Containers & Packaging	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	15	12-Oct	2012	1.0	
7185	Tiger Global Management	Souq.com	MENA	Middle East	United Arab Emirates	ARE	AE	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-Oct	2012	1.0	
7186	ChrysCapital	Ipca Laboratories	Asia	South Asia	India	IND	IN	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	PIPE	45	12-Oct	2012	0.0	
7187	The Carlyle Group	Solusi Tunas Pratama (STP)	Asia	Southeast Asia	Indonesia	IDN	ID	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Infrastructure & Real Assets	PIPE	100	12-Oct	2012	0.0	
7188	Corsair Capital, African Capital Alliance	Union Bank of Nigeria	Sub-Saharan Africa	West Africa	Nigeria	NGA	NG	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Buyout	75	12-Oct	2012	1.0	
7189	Caspian Advisors	Equitas Holdings	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	9	12-Oct	2012	1.0	117.3526447
7190	Kae Capital, Bessemer Venture Partners	Fortune Payment Solutions India (FortunePay)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		12-Oct	2012	0.0	
7191	The Rohatyn Group	Ingenieria y Asesorias en Computacion y Comunicacion NeoSecure	Latin America	South America	Chile	CHL	CL	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		12-Oct	2012	0.0	
7192	Baring Private Equity Asia	Courts	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	PIPE	108	12-Oct	2012	0.0	
7193	Practica Capital	Startup.lt	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.3	12-Oct	2012	0.0	
7194	Vital Capital Investments	Prabon Community Building Project	Sub-Saharan Africa	West Africa	Ghana	GHA	GH	Financials	Real Estate	Real Estate Investment & Services	Real Estate Holding & Development	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Growth	1	12-Oct	2012	0.0	
7195	Vital Capital Investments	Focal Energy	Asia	South Asia	India	IND	IN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	5	12-Oct	2012	0.0	
7196	InVenture Partners	OnlineTours	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	2	12-Oct	2012	0.0	
7197	InVenture Partners	2can (Smartfin)	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	12-Oct	2012	0.0	
7198	EIG Global Energy Partners	Manabi	Latin America	South America	Brazil	BRA	BR	Basic Materials	Basic Resources	Industrial Metals & Mining	Iron & Steel	Metals & Mining	I Primary Metals	Primary Metals	Infrastructure & Real Assets	Growth	151	12-Oct	2012	0.0	
7199	Kandeo	Distribuidora Rayco	Latin America	South America	Colombia	COL	CO	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		12-Oct	2012	0.0	
7200	eVentures Africa	Nomanini	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	1	12-Oct	2012	0.0	
7201	Blume Ventures	Webklipper Technologies (WebEngage)	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.2	12-Oct	2012	0.0	
7202	Blume Ventures	Grey Orange	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Venture Capital	0.2	12-Oct	2012	0.0	
7203	Blume Ventures	Eki Communications	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.01	12-Oct	2012	0.0	
7204	Blume Ventures	Printo Document Services	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Leisure Goods	Recreational Products	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	0.1	12-Oct	2012	0.0	
7205	Actis	Asiri Hospital Holdings	Asia	South Asia	Sri Lanka	LKA	LK	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	PIPE	32	12-Oct	2012	0.0	53.53106486
7206	Blume Ventures	Nivaata Systems (Verayu)	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.2	12-Oct	2012	0.0	
7207	CoreCo Holding	Total PET Packaging	Latin America	Central America	Costa Rica	CRI	CR	Industrials	Industrial Goods & Services	General Industrials	Containers & Packaging	Containers & Packaging	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	9	12-Oct	2012	1.0	
7208	Horizon Capital	Biofarma	CEE & CIS	Commonwealth of Independent States (CIS)	Ukraine	UKR	UA	Health Care	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals	G Chemicals	Chemicals	Private Equity	Growth	40	12-Oct	2012	0.0	
7209	Maxwell Biotech Group	Eleventa	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		12-Oct	2012	0.0	
7210	Euroventures	Tresorit	CEE & CIS	Central & Eastern Europe (CEE)	Hungary	HUN	HU	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	12-Oct	2012	0.0	
7211	Zoom Capital	Vseinstrumenti.ru	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	30	12-Oct	2012	0.0	
7212	The Blackstone Group	International Tractors (Sonalika)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Engineering	Commercial Vehicles & Trucks	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	100	12-Oct	2012	0.0	
7213	Horizon Capital	Tinkoff Bank	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	40	12-Oct	2012	1.0	
7214	Kaszek Ventures, Monashees Capital, Thrive Capital	Oppa	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Home Improvement Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	11	12-Oct	2012	0.0	
7215	Omnivore Capital Management Advisors	Khedut Agro	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		12-Oct	2012	0.0	
7216	Omnivore Capital Management Advisors	FrontalRain Technologies	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	12-Oct	2012	0.0	
7217	Olympus Capital Asia	Grant Acheive Global	Asia	East Asia	China	CHN	CN	Utilities	Utilities	Gas, Water & Multi-utilities	Water	Water Utilities	C Utilities	Utilities	Private Equity	PIPE		12-Oct	2012	1.0	
7218	PineBridge Investments	Promedica24	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		12-Oct	2012	1.0	
7219	Middle East Venture Partners (MEVP), Berytech Fund	Wixel Studios	MENA	Middle East	Lebanon	LBN	LB	Consumer Goods	Personal & Household Goods	Leisure Goods	Toys	Specialty Retail	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	0.2	12-Oct	2012	0.0	
7220	Middle East Venture Partners (MEVP)	The Luxury Closet	MENA	Middle East	United Arab Emirates	ARE	AE	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-Oct	2012	1.0	
7221	Japan Asia Investment (JAIC)	Polydice	Asia	East Asia	Taiwan	TWN	TW	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-Oct	2012	0.0	
7222	Aditya Birla Private Equity	Olive Bar & Kitchen	Asia	South Asia	India	IND	IN	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	10	12-Oct	2012	0.0	
7223	Prostor Capital	VitaPortal	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	2	12-Oct	2012	0.0	
7224	Russia Partners	MD Medical Group	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	PIPE	39	12-Oct	2012	0.0	
7225	L Catterton	Genesis Luxury	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	10	12-Oct	2012	0.0	
7226	Tiantu Xingye Venture Capital (Tiantu Capital)	Best Learning	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	16	12-Oct	2012	0.0	
7227	Delta Capital	Simply The Group	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	10	12-Oct	2012	0.0	
7228	Inventus Capital Partners	Vizury Interactive Solutions	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	9	12-Oct	2012	0.0	
7229	Runa Capital	TalkBits	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	12-Oct	2012	0.0	
7230	Atomico	OneTwoTrip.com	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	16	12-Oct	2012	0.0	
7231	Russia Partners	Orient Express Bank	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		12-Oct	2012	1.0	
7232	XSML	Sogetra	Sub-Saharan Africa	Central Africa	Democratic Republic of the Congo	COD	CD	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth		12-Oct	2012	1.0	
7233	Monashees Capital	Bidu	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-Oct	2012	0.0	
7234	Everstone Capital	S Chand Group	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Publishing	Media	N Information	Information	Private Equity	Growth	38	12-Oct	2012	0.0	65.61990807
7235	Sequoia Capital	Suburban Diagnostics	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	7	12-Oct	2012	0.0	
7236	Matrix Partners, Lightspeed Venture Partners	LimeRoad.com	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	5	12-Oct	2012	0.0	
7237	Accel Partners	CommonFloor.com	Asia	South Asia	India	IND	IN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Services	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Venture Capital		12-Oct	2012	0.0	
7238	IFC Asset Management Company (AMC)	CorpBanca	Latin America	South America	Chile	CHL	CL	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	203	12-Oct	2012	1.0	
7239	Inventus Capital Partners	BEBB India (Power2SME)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	12-Oct	2012	0.0	
7240	Legend Capital	Air China Travel Service	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	79	12-Oct	2012	0.0	
7241	Kaizen Private Equity	ACE Creative Learning	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	5	12-Oct	2012	1.0	
7242	Promotora	Kinco	Latin America	South America	Colombia	COL	CO	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout		12-Oct	2012	0.0	
7243	TVM Capital Healthcare Partners	Cambridge Medical and Rehabilitation Center (CMRC)	MENA	Middle East	United Arab Emirates	ARE	AE	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		12-Oct	2012	1.0	
7244	Investec Asset Management, Emerging Capital Partners (ECP)	IHS	Sub-Saharan Africa	West Africa	Nigeria	NGA	NG	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Infrastructure & Real Assets	Growth		12-Oct	2012	1.0	
7245	Middle East Venture Partners (MEVP)	Shahiya.com	MENA	Middle East	Lebanon	LBN	LB	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	12-Oct	2012	0.0	
7246	Artiman Ventures	Tonbo Imaging	Asia	Southeast Asia	Singapore	SGP	SG	Industrials	Industrial Goods & Services	Aerospace & Defense	Defense	Aerospace & Defense	X Other (For Non-Investment Projects)	Other Public	Private Equity	Venture Capital	6	12-Oct	2012	0.0	
7247	Patria Investimentos	Nova Opersan Solucoes Ambientais	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Support Services	Waste & Disposal Services	Commercial Services & Supplies	C Utilities	Utilities	Infrastructure & Real Assets	Growth		12-Oct	2012	0.0	
7248	LitCapital	NNL	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth		12-Oct	2012	0.0	
7249	Partners Venture Capital	Panax Etec	Asia	East Asia	South Korea	KOR	KR	Industrials	Industrial Goods & Services	Electronic & Electrical Equipment	Electrical Components & Equipment	Electrical Equipment	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	9	12-Oct	2012	0.0	
7250	Goodwell Investments	MicroCred Nigeria	Sub-Saharan Africa	West Africa	Nigeria	NGA	NG	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		12-Oct	2012	0.0	
7251	FIR Capital Partners	Axado	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		12-Oct	2012	0.0	7.855918785
7252	Runa Capital	Eruditor	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-Oct	2012	0.0	
7253	Leopard Capital	Kingdom Breweries	Asia	Southeast Asia	Cambodia	KHM	KH	Consumer Goods	Food & Beverage	Beverages	Brewers	Beverages	F Food & Beverages	Food & Beverages	Private Equity	Growth	5	12-Oct	2012	0.0	
7254	Warburg Pincus	Capital First	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Investment Services	Capital Markets	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	52	12-Oct	2012	0.0	275.8556765
7255	Capitalworks Equity Partners	Rhodes Food Group	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth		12-Sep	2012	0.0	
7256	Equis	Hydreq/DANS	Asia	South Asia	India	IND	IN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth		12-Sep	2012	0.0	
7257	GP Investments	BR Towers	Latin America	South America	Brazil	BRA	BR	Telecommunications	Telecommunications	Mobile Telecommunications	Mobile Telecommunications	Wireless Telecommunication Services	N Information	Information	Infrastructure & Real Assets	Buyout	90	12-Sep	2012	0.0	250.0
7258	CHAMP Private Equity	Miclyn Express Offshore	Asia	Southeast Asia	Singapore	SGP	SG	Oil & Gas	Oil & Gas	Oil Equipment, Services & Distribution	Oil Equipment & Services	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	PIPE	207	12-Sep	2012	0.0	
7259	Advent International	EKO Holding Group	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Buyout		12-Sep	2012	0.0	
7260	Enterprise Investors	Center for Cancer Diagnostics and Therapy (CDiTO)	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Buyout	19	12-Sep	2012	0.0	
7261	Victoria Capital Partners	Oncoclinicas do Brasil Servicos Medicos	Latin America	South America	Brazil	BRA	BR	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Credit	Mezzanine		12-Sep	2012		
7262	Aavishkaar Venture Management	Electronic Payments and Services (EPS)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	4	12-Sep	2012	1.0	
7263	Creation Investments Capital Management	Sonata Finance	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	9	12-Sep	2012	0.0	
7264	Blume Ventures	Covacsis Technologies	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	0.2	12-Sep	2012	0.0	
7265	Shenzhen Capital Group (SCGC)	Hubei Xiaohu Duck Food	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Venture Capital	5	12-Sep	2012	0.0	
7266	Macquarie Infrastructure and Real Assets (MIRA)	Zhejiang Wanna Environment Protection	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Waste & Disposal Services	Commercial Services & Supplies	C Utilities	Utilities	Infrastructure & Real Assets	Growth	100	12-Sep	2012	0.0	
7267	Caspian Advisors, Aavishkaar Venture Management, Caspian Advisors	Arohan Financial Services	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Buyout	2	12-Sep	2012	1.0	
7268	General Atlantic	Yemeksepeti.com	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	44	12-Sep	2012	0.0	
7269	The Blackstone Group	Financial Technologies India (FTIL)	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	PIPE	9	12-Sep	2012	0.0	
7270	VIG Partners	Burger King Korea	Asia	East Asia	South Korea	KOR	KR	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout	89	12-Sep	2012	0.0	181.886313
7271	Maxwell Biotech Group	Osteros Biomedica	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Health Care	Health Care	Pharmaceuticals & Biotechnology	Biotechnology	Biotechnology	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		12-Sep	2012	0.0	
7272	SAIF Partners	Rkylin	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	10	12-Sep	2012	0.0	
7273	Aavishkaar Venture Management	IntelleCash Microfinance Network	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	3	12-Sep	2012	0.0	
7274	InfraMed Management	Jordan Wind Project Company	MENA	Middle East	Jordan	JOR	JO	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth		12-Sep	2012	0.0	
7275	Innova Capital	Neomedic	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	46	12-Sep	2012	0.0	
7276	Affinity Equity Partners, Baring Private Equity Asia, IMM Private Equity	Kyobo Life Insurance	Asia	East Asia	South Korea	KOR	KR	Financials	Insurance	Life Insurance	Life Insurance	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		12-Sep	2012	0.0	
7277	Quona Capital	Tiaxa (Zonamovil)	Latin America	South America	Chile	CHL	CL	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	3	12-Sep	2012	0.0	
7278	The Blackstone Group	SH Kelkar (SHK)	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Personal Goods	Personal Products	Textiles, Apparel & Luxury Goods	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth	44	12-Sep	2012	0.0	111.03974050000001
7279	African Capital Alliance	Cornerstone Insurance	Sub-Saharan Africa	West Africa	Nigeria	NGA	NG	Financials	Insurance	Nonlife Insurance	Property & Casualty Insurance	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	7	12-Sep	2012	1.0	
7280	Actis	Nanjing Micro-Tech	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Growth		12-Sep	2012	0.0	
