original_name|country_code|mapped_name|mapping_score
Controladora II|MX|CONTROLADORA AT, S. A. P. I. DE C. V.|scoreD
Convert.com|MX|CONVERTEX SA DE CV|scoreB
Convertergy|CN|HANGZHOU HOYMILES CONVERTER TECHNOLOGY CO., LTD.|scoreE
Cookhouse|ZA|NUMBER TWO PIGGERIES (PTY) LTD (Alias: COOKHOUSE PIGGERY)|scoreB
Corner Insurance|NG|CORNERSTONE INSURANCE PLC|scoreC
Cornerstone_CAPIC Fund|NG||
Cosse-ter Ltd|RU|TEPLOENERGOREMONT (Alias: TER)|scoreB
Cotech|CN|COTECH FILTER (BEIJING) CO., LTD.|scoreB
CPS Building Con|IN||
Crecer Bolivia|BO||
Crederity|IN|ICREDERITY INFO SERVICES PRIVATE LIMITED|scoreE
Credibility A.T|MX||
CrediCampo|SV||
Crezcamos|WLD|CREZCAMOS S.A.|scoreB
Ctrip|CN|CTRIP|scoreA
Cywee|TW|CYWEE INC.|scoreA
Daawat|IN|DAAWAT FOODS LIMITED|scoreB
DAC NPL Pool|CN||
Dalio/Avis|CD||
DalRybProm Fishing Company|RU|JSC FISHING COMPANY OCTOPUS|scoreB
DataSpace|RU|DATASPACE PARTNERS LLC|scoreB
DayHR|CN||
DCM|EE|CERMETS DCM OU|scoreB
Deacons|KE|DEACONS (EAST AFRICA) PLC (Previous name: DEACONS KENYA LIMITED)|scoreB
Deep Drilling|MR||
Delifrost|CR||
Deltaridge|NG||
DFM|ZA|ALMAZA COURT (PTY) LTD (Alias: DFM)|scoreA
DGCity Beauty|CN||
Dianwoba|CN||
Diaspora Design|KE||
Digital Domain|HK|DIGITAL DOMAIN MEDIA (HK) LIMITED|scoreC
Ding Ji International|CN|DINGJIN INTERNATIONAL LIMITED|scoreA
Directel|HK|DIRECTEX LIMITED|scoreB
DISA|ECA|DOLPHIN INTEGRATION (Alias: DISA)|scoreA
Distressed pool|CN||
DIY|WLD|DIY POLAND SP. Z O.O.|scoreB
Doga Schools|TR||
Dominos Pizza|TR|PIZZA RESTAURANTLARI ANONIM SIRKETI|scoreE
Douala Retail|CM|DOUAL' ART|scoreE
Dr Pius Chilonda|ZA||
Dream 11|US|DREAMS, INC.|scoreE
Dreamlabs|CN||
Dufa Romania SRL|RO|MFA SA MIZIL|scoreE
DUMMY - Medall|IN||
Durja|IN|DURJA VYAPAAR PRIVATE LIMITED|scoreB
Dynamic FM|ZA|URI SHLOMO TRADE CC (Alias: DYNAMICA)|scoreB
E2E infra|IN|AUROME INFRA PRIVATE LIMITED|scoreE
Ealong Biotech|CN||
Easyhin|CN||
Eaton Towers Ltd|WLD|EATON TOWERS LIMITED|scoreA
Ebes|BR|ONG ESTADO DE BEM ESTAR SOCIAL - EBES (Alias: EBES)|scoreA
EcoBank Trans...|AFR|ECOBANK TRANSNATIONAL LIMITED|scoreD
Ecospan|AM||
Edmodo|WLD|EDMODO|scoreA
Educents|WLD|EDUCENTS INC|scoreA
EduPristine|IN|NEEV KNOWLEDGE MANAGEMENT PRIVATE LIMITED|scoreE
EEA Kenya Ltd|KE|EEDI KENYA LIMITED|scoreC
EFFCO Soln|TZ||
Ehoutai|CN||
eJiuPi|CN||
Eleni Gabre|ET||
Elohim|LR||
Elris|KE|ELRIS COMPANY LIMITED|scoreB
Elton Int|SSA|ELTON INTERNATIONAL LIMITED|scoreA
EM Bonds|TR||
Emilda C Kotokwa|ZA||
Empower|US|EMPOWER FEDERAL CREDIT UNION (Alias: EMPOWER)|scoreA
Empowerex Trd|ZM||
Encognition|WLD|COGNITION CORP|scoreE
Encube|IN|ENCUBE ETHICALS PRIVATE LIMITED|scoreB
Engro Asahi|PK||
EnviroServe|SSA|ENVRO SERVE (Alias: ENVIROSERVE)|scoreA
"""Envizio, Inc."""|RU|ENVIZION|scoreB
EPL|IN|EPL INDIA LIMITED|scoreB
Equator Apparels|KE||
Equitas MFI|IN|EQUITAS LEGAL|scoreE
Ergos|IN|ERGOS LIFE SCIENCES PRIVATE LIMITED|scoreE
ESPRIT Tunis|TN||
Estrell Trading Co|MW||
